LEPTOSPIROSE - Casos confirmados notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de residência e Ano 1º Sintoma(s)
Período:2001-2006
"Município de residência";"2001";"2002";"2003";"2004";"2005";"2006";"Total"
"210360 Coroatá";2;-;-;-;-;-;2
"210460 Governador Eugênio Barros";-;-;-;-;-;1;1
"210480 Grajaú";-;-;-;-;1;-;1
"210500 Humberto de Campos";-;-;-;1;-;-;1
"210510 Icatu";-;-;1;-;-;-;1
"210530 Imperatriz";-;-;-;-;-;1;1
"210637 Maranhãozinho";-;-;-;-;-;1;1
"210690 Monção";1;-;-;-;-;-;1
"210720 Nina Rodrigues";-;-;-;-;1;-;1
"210750 Paço do Lumiar";-;2;-;-;-;2;4
"210850 Pindaré-Mirim";-;-;1;-;-;1;2
"210910 Presidente Dutra";1;-;-;-;-;-;1
"210930 Presidente Vargas";-;-;-;-;-;1;1
"210945 Raposa";-;-;1;-;1;-;2
"210950 Riachão";-;-;-;-;-;2;2
"210990 Santa Inês";-;-;-;-;2;-;2
"211020 Santa Rita";-;-;-;-;-;1;1
"211050 São Bento";-;-;-;-;1;-;1
"211107 São João do Soter";-;-;-;-;-;1;1
"211120 São José de Ribamar";1;2;-;-;-;3;6
"211130 São Luís";25;18;12;16;6;21;98
"211174 Senador Alexandre Costa";1;-;-;-;-;-;1
"211270 Vargem Grande";-;-;-;-;-;1;1
"211290 Vitória do Mearim";1;-;-;-;-;-;1
"220200 Buriti dos Lopes";-;-;-;-;-;1;1
"221100 Teresina";-;-;-;-;1;-;1
"221110 União";-;-;-;-;-;1;1
"230100 Aquiraz";-;1;-;1;-;-;2
"230110 Aracati";-;-;-;-;-;1;1
"230140 Aratuba";-;-;1;-;-;-;1
"230190 Barbalha";-;-;-;-;1;-;1
"230195 Barreira";1;-;-;-;-;-;1
"230200 Barro";-;1;-;-;-;-;1
"230210 Baturité";-;-;-;-;1;2;3
"230220 Beberibe";-;-;-;1;-;2;3
"230280 Canindé";-;1;1;-;-;-;2
"230290 Capistrano";-;-;-;-;-;1;1
"230330 Cariús";-;-;1;-;-;-;1
"230350 Cascavel";1;-;-;-;-;1;2
"230370 Caucaia";3;7;8;1;4;7;30
"230380 Cedro";-;-;-;11;3;-;14
"230410 Crateús";1;-;-;-;-;-;1
"230425 Cruz";-;-;-;-;1;-;1
"230426 Deputado Irapuan Pinheiro";-;-;-;1;-;-;1
"230428 Eusébio";1;-;-;-;1;-;2
"230440 Fortaleza";28;28;54;62;27;65;264
"230470 Granja";-;-;1;-;-;1;2
"230495 Guaiúba";1;-;-;-;1;-;2
"230500 Guaraciaba do Norte";-;-;-;-;-;1;1
"230510 Guaramiranga";-;-;-;-;-;3;3
"230523 Horizonte";-;-;-;-;2;-;2
"230526 Ibaretama";-;-;1;-;-;-;1
"230550 Iguatu";4;2;-;-;4;-;10
"230590 Ipueiras";-;-;-;1;-;-;1
"230625 Itaitinga";-;1;-;-;-;-;1
"230630 Itapagé";-;-;2;-;-;-;2
"230640 Itapipoca";-;-;-;-;-;1;1
"230690 Jaguaribe";-;1;1;2;-;-;4
"230740 Jucás";-;1;-;-;1;-;2
"230750 Lavras da Mangabeira";-;-;-;1;-;1;2
"230760 Limoeiro do Norte";-;-;-;2;-;-;2
"230765 Maracanaú";5;2;7;3;2;5;24
"230770 Maranguape";-;-;-;-;1;3;4
"230800 Massapê";-;-;-;2;-;-;2
